GSDB-7F3A9C-88B2D4,UCS-0421-7743,A'Shraa-Ven,Alpha-7,25800,7F3A9C,88B2D4,E1F5A7,7.8321,942,UCS-0421-7743-PS,Sigma Draconis A,G0-1V,1.02,5.8,1.08,4,UCS-0421-7743-PS-01,Kythra'Nel Prime,1,Terra-Gaia,1.10,12800,1.05,N2-O2-Ar,100%,5,3,Aethorian Humans,Type II Emerging,Open Diplomatic,UCS-0421-7743-PS-01-L1,Celestia,3200,0.25,3,Diplomatic Hub,Galactic Survey Certified
GSDB-7F3A9C-88B2D4,UCS-0421-7743,A'Shraa-Ven,Alpha-7,25800,7F3A9C,88B2D4,E1F5A7,7.8321,942,UCS-0421-7743-PS,Sigma Draconis A,G0-1V,1.02,5.8,1.08,4,UCS-0421-7743-PS-02,Aethoria,2,Advanced World,1.25,13500,1.15,Artificial Optimal,0%,5,5,Aethorian Elders,Type II Advanced,Open Diplomatic,UCS-0421-7743-PS-02-L1,Techno-Sphere,2800,0.22,4,Research Hub,Galactic Survey Certified
GSDB-7F3A9C-88B2D4,UCS-0421-7743,A'Shraa-Ven,Alpha-7,25800,7F3A9C,88B2D4,E1F5A7,7.8321,942,UCS-0421-7743-PS,Sigma Draconis A,G0-1V,1.02,5.8,1.08,4,UCS-0421-7743-PS-03,Aqua'Maris,3,Ocean World,0.95,12100,0.92,N2-O2,95%,4,2,Aquatic Nereids,Type I Advanced,Research Only,UCS-0421-7743-PS-03-L1,Tidal Guardian,1800,0.18,2,Orbital Station,Galactic Survey Certified
GSDB-8B2D4E-77A1C3,UCS-0198-5521,Mira'Thal,Alpha-7,11900,8B2D4E,77A1C3,F6B8C9,7.8345,921,UCS-0198-5521-PS,Tau Ceti Primary,G8.5V,0.78,5.8,0.52,3,UCS-0198-5521-PS-01,Oceanus Prime,1,Ocean World,1.25,13000,1.12,N2-O2,98%,4,3,Pelagic Collective,Type II,Open Diplomatic,UCS-0198-5521-PS-01-L1,Coral Moon,2800,0.22,3,Research Station,Galactic Survey Certified
GSDB-8B2D4E-77A1C3,UCS-0198-5521,Mira'Thal,Alpha-7,11900,8B2D4E,77A1C3,F6B8C9,7.8345,921,UCS-0198-5521-PS,Tau Ceti Primary,G8.5V,0.78,5.8,0.52,3,UCS-0198-5521-PS-02,Lumina,2,Advanced World,1.18,13200,1.08,Artificial Optimal,0%,5,5,Luminous Ones,Type III,Open Diplomatic,UCS-0198-5521-PS-02-L1,Crystal Spire,3200,0.25,5,Consciousness Temple,Galactic Survey Certified
GSDB-8B2D4E-77A1C3,UCS-0198-5521,Mira'Thal,Alpha-7,11900,8B2D4E,77A1C3,F6B8C9,7.8345,921,UCS-0198-5521-PS,Tau Ceti Primary,G8.5V,0.78,5.8,0.52,3,UCS-0198-5521-PS-03,Ice Haven,3,Ice World,0.82,10800,0.79,N2-CH4,85%,3,2,Cryogenic Beings,Type I,Study Only,UCS-0198-5521-PS-03-L1,Frost Orbiter,1500,0.15,2,Monitoring Post,Galactic Survey Certified
GSDB-9C3E5F-66B0D2,UCS-0087-3342,Kael'Nor,Alpha-7,10500,9C3E5F,66B0D2,A7C8D9,7.8298,956,UCS-0087-3342-PS,Epsilon Eridani Primary,K2V,0.82,0.8,0.34,2,UCS-0087-3342-PS-01,Sandra'Kor,1,Desert World,1.08,12500,1.03,Thin O2-CO2,75%,3,2,Desert Nomads,Type I,Contact Prepared,UCS-0087-3342-PS-01-L1,Dust Watcher,2200,0.20,2,Communication Hub,Galactic Survey Certified
GSDB-9C3E5F-66B0D2,UCS-0087-3342,Kael'Nor,Alpha-7,10500,9C3E5F,66B0D2,A7C8D9,7.8298,956,UCS-0087-3342-PS,Epsilon Eridani Primary,K2V,0.82,0.8,0.34,2,UCS-0087-3342-PS-02,Techna-Prime,2,Advanced World,1.22,13400,1.10,Artificial Optimal,0%,4,4,Mechanical Guardians,Type II,Research Only,UCS-0087-3342-PS-02-L1,Orbital Forge,2500,0.21,3,Manufacturing Center,Galactic Survey Certified
GSDB-A4D5E6-55C1B0,UCS-0456-7721,Zy'Rath,Alpha-7,11200,A4D5E6,55C1B0,B8C9D0,7.8312,935,UCS-0456-7721-PS,61 Cygni A,K5V,0.70,6.3,0.15,3,UCS-0456-7721-PS-01,Duo'Prime,1,Terra-Gaia,0.95,11800,0.90,N2-O2-Ar,100%,4,3,Twin Species Collective,Type I Advanced,Open Diplomatic,UCS-0456-7721-PS-01-L1,Harmony Orbiter,2900,0.23,3,Diplomatic Station,Galactic Survey Certified
GSDB-A4D5E6-55C1B0,UCS-0456-7721,Zy'Rath,Alpha-7,11200,A4D5E6,55C1B0,B8C9D0,7.8312,935,UCS-0456-7721-PS,61 Cygni A,K5V,0.70,6.3,0.15,3,UCS-0456-7721-PS-02,Crystal Haven,2,Advanced World,1.15,12900,1.05,Artificial Optimal,0%,5,5,Crystalline Sentients,Type III,Open Diplomatic,UCS-0456-7721-PS-02-L1,Shard Spire,2600,0.20,4,Energy Focus,Galactic Survey Certified
GSDB-B5E6F7-44D2A1,UCS-0678-4412,Oph'Uron,Beta-3,15400,B5E6F7,44D2A1,C9D0E1,7.8276,968,UCS-0678-4412-PS,70 Ophiuchi A,K1V,0.90,3.5,0.48,3,UCS-0678-4412-PS-01,Wisdom's Cradle,1,Terra-Gaia,1.12,12600,1.02,N2-O2-Ar,100%,5,4,Serpent Philosophers,Type II,Contact Prepared,UCS-0678-4412-PS-01-L1,Oracle Moon,3100,0.24,4,Meditation Temple,Galactic Survey Certified
